<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
MMM,0,20160126,101041,144.000000000,100
MMM,0,20160126,101041,144.000000000,100
MMM,0,20160126,101041,144.000000000,100
MMM,0,20160126,101041,144.000000000,100
MMM,0,20160126,101044,143.950000000,100
MMM,0,20160126,101055,143.930000000,100
MMM,0,20160126,101055,143.920000000,100
MMM,0,20160126,101116,143.935000000,100
MMM,0,20160126,101120,143.910000000,100
MMM,0,20160126,101120,143.860000000,100
MMM,0,20160126,101120,143.895000000,100
MMM,0,20160126,101120,143.850000000,100
MMM,0,20160126,101128,143.820000000,100
MMM,0,20160126,101135,143.850000000,100
MMM,0,20160126,101148,143.760000000,200
MMM,0,20160126,101201,143.830000000,100
MMM,0,20160126,101210,143.810000000,100
MMM,0,20160126,101214,143.750000000,100
MMM,0,20160126,101300,143.860000000,100
MMM,0,20160126,101305,143.840000000,100
MMM,0,20160126,101315,143.835000000,100
MMM,0,20160126,101330,143.860000000,100
MMM,0,20160126,101330,143.860000000,100
MMM,0,20160126,101331,143.860000000,100
MMM,0,20160126,101332,143.850000000,100
MMM,0,20160126,101332,143.830000000,100
MMM,0,20160126,101332,143.810000000,100
MMM,0,20160126,101422,143.710000000,100
MMM,0,20160126,101456,143.740000000,100
MMM,0,20160126,101456,143.740000000,100
MMM,0,20160126,101501,143.825000000,100
MMM,0,20160126,101501,143.840000000,100
MMM,0,20160126,101501,143.850000000,100
MMM,0,20160126,101504,143.810000000,100
MMM,0,20160126,101504,143.800000000,100
MMM,0,20160126,101510,143.820000000,100
MMM,0,20160126,101510,143.820000000,100
MMM,0,20160126,101528,143.820000000,100
MMM,0,20160126,101539,143.880000000,200
MMM,0,20160126,101550,143.920000000,100
MMM,0,20160126,101608,144.000000000,100
MMM,0,20160126,101610,144.000000000,100
MMM,0,20160126,101611,144.020000000,100
MMM,0,20160126,101611,144.010000000,100
MMM,0,20160126,101611,143.960000000,100
MMM,0,20160126,101611,143.950000000,100
MMM,0,20160126,101611,143.970000000,100
MMM,0,20160126,101613,143.930000000,100
MMM,0,20160126,101634,144.110000000,100
MMM,0,20160126,101634,144.090000000,100
MMM,0,20160126,101638,144.040000000,100
MMM,0,20160126,101638,144.040000000,100
MMM,0,20160126,101638,144.010000000,100
MMM,0,20160126,101646,144.000000000,100
MMM,0,20160126,101646,144.000000000,100
MMM,0,20160126,101646,144.000000000,100
MMM,0,20160126,101648,144.000000000,100
MMM,0,20160126,101651,144.000000000,100
MMM,0,20160126,101656,144.000000000,100
MMM,0,20160126,101656,144.000000000,100
MMM,0,20160126,101656,144.000000000,100
MMM,0,20160126,101656,144.000000000,100
MMM,0,20160126,101656,144.000000000,100
MMM,0,20160126,101656,143.960000000,100
MMM,0,20160126,101707,143.910000000,100
MMM,0,20160126,101716,143.940000000,100
MMM,0,20160126,101722,143.910000000,100
MMM,0,20160126,101729,143.950000000,100
MMM,0,20160126,101820,143.940000000,100
MMM,0,20160126,101829,143.990000000,100
MMM,0,20160126,101829,144.000000000,100
MMM,0,20160126,101829,144.000000000,100
MMM,0,20160126,101829,144.000000000,100
MMM,0,20160126,101829,143.990000000,100
MMM,0,20160126,101829,143.990000000,100
MMM,0,20160126,101829,143.990000000,100
MMM,0,20160126,101906,144.000000000,100
MMM,0,20160126,101906,144.000000000,100
MMM,0,20160126,101906,144.000000000,100
MMM,0,20160126,101906,144.000000000,100
MMM,0,20160126,101906,144.000000000,100
MMM,0,20160126,101908,143.970000000,100
MMM,0,20160126,101930,143.960000000,200
MMM,0,20160126,101930,143.950000000,100
MMM,0,20160126,101930,143.940000000,100
MMM,0,20160126,101945,143.920000000,100
MMM,0,20160126,102002,144.000000000,100
